,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53
MACCS_8,0.001996447551370237,0.046557623880584674,-0.005134575450395199,-0.09349848700033149,-0.10422956347643311,-0.11383086384869254,0.09794021005656718,0.017726263821414526,0.1745240897045716,0.06859076012925402,-0.1592938249043089,0.0663692242883426,-0.17103177114899062,0.025302683720540536,-0.12772178333008738,-0.1893158433462835,0.11815410462977108,-0.0011918638504691634,0.11808166781087806,-0.06017549065440838,-0.07517055155241832,-0.1361814114851487,0.04732417394439082,-0.05887746221927141,0.10591226757632527,0.07855427083228111,-0.0014973329030667645,-0.041267182431971645,0.091489726332501,-0.0754209071844151,0.006182308225467537,0.06317215167994271,-0.0006759748326477676,0.005554343416985427,-0.009185947400809698,-0.018034768128569873,0.05441554614599126,0.013412535049345215,-0.09173392999957168,-0.07301927854863273,-0.054731915010868416,-0.2108620157172379,0.05303390121164083,-0.2351571186825227,-0.13347705630859524,0.0073406025405469985,0.02462459373847426,0.16559833986879144,-0.016270357974453472,-0.08509381953210211,-0.008288374101457966,0.05831117423920134,-0.1069661337087642
MACCS_13,0.05196101637900154,0.0850108019247566,-0.01883430143151158,0.08828228590384535,-0.002960089357198825,0.04432576233595975,0.04760821025058212,0.18991601063820635,-0.11572629976239845,0.09923379052445265,-0.061737763722878175,-0.23131409924085994,0.008544239463562364,-0.03814938233870438,-0.21149245410094986,0.11156038176718594,-0.04334807768483437,0.018299930560409076,0.13623866427658984,0.0868339126238627,0.04216683900012256,-0.10447320661401355,0.0020440127677475595,-0.049783925095985594,0.022338940495035906,-0.01738769536470129,-0.005048185877613978,0.00245680312211616,0.08723549142037854,0.20980872373760284,-0.07218054305963177,0.0588977020561813,0.08991699720221383,-0.09314144109707784,0.08802069247277161,-0.02540404652288639,-0.04844031286119129,-0.04971448095080768,-0.05113695049825499,-0.13476586866555185,-0.02792268422079556,-0.0056282515830474444,-0.12288192042894389,0.01947681540268458,-0.09084131457547195,0.0002093147980643112,0.08611005638122568,0.02001316473050028,-0.08286359585710348,0.08585256370872169,-0.02105780869758696,-0.101128520765211,0.058066010072452906
MACCS_17,0.017450435288206903,-0.02294488991891208,0.0036709718672944293,0.021274761894758187,-0.0012645131996557313,-0.018053373740627675,-0.05724695345892515,-0.017521499689094652,0.15127712537343246,0.20020892009793365,0.18125991466647684,-0.10121882737396451,-0.012018080090949318,-0.08315301711829243,0.17063973379018552,0.004975942158142621,0.2230233546015952,0.014237456708081698,-0.0058518802682532844,-0.026507729404670367,0.26996491953196255,-0.0607066504066652,-0.03067189135089207,-0.1221583269263635,-0.08394751069232996,0.11780290337035867,0.07193675734703964,-0.05760334353317721,0.06245800677523584,0.1394755370135303,0.09726819332230853,-0.018894589144164885,-0.057896976460784746,-0.2592928669931997,-0.12968455364330173,-0.09310299823461061,-0.01046232210937249,0.07057074007587548,0.018640146292375558,-0.017008623850219725,-0.04085383112585808,-0.057854722649926874,-0.02254946396916132,-0.1437651870315065,0.11891615612226372,-0.10149219888732643,0.12626684497211932,0.001617676328904426,-0.062238074115631904,0.06849126108766537,-0.07453487806491374,-0.2121349942712681,0.2481091545379515
MACCS_19,-0.028310396985635075,-0.01230641885523942,-0.011679198812400524,-0.05618504805954183,-0.11332599287955969,-0.06423010564389542,0.034841947775584386,0.12596324387445607,0.12909072397094276,0.1318175744614555,0.035820534304058675,0.14467027705278515,-0.018467086212944975,0.05008256724216194,-0.1207584136652188,-0.02739438053200538,-0.0981048654841896,0.0297850641672209,0.024512293022712683,-0.25146231592639745,-0.19842387652235416,-0.14429499068671833,-0.10710778929209272,-0.15850360533862448,0.03738008397803602,-0.012885294496978533,-0.11619354537990204,-0.1671465658171114,-0.11335750976384164,0.16092389561620218,0.10311922401376247,0.0668227217756042,0.13686544569539283,0.1102484872786081,-0.10243320898167609,-0.03657274209834834,-0.15995559742711274,-0.032661578243592546,0.07550486390112608,0.15433346788076763,0.17756438163127375,0.021753942694355363,0.02090740985729876,-0.05862277748192224,-0.1026860898542608,-0.022507724413959988,0.060072060288353525,0.022421310724866902,0.13295627246074163,-0.1225844105041178,0.03747447076404778,-0.012400742975605686,0.07408252132918422
MACCS_21,0.021048854528019495,0.08705449990804703,0.01996502720754835,0.06454748158700474,0.06007772146197379,0.09890450791498284,0.13690258727404533,0.03878809890722961,0.13069078758703406,-0.1718990920113489,0.1338457120483223,0.09760361072875841,-0.10395072696635554,0.19960487947253192,0.12049966493367102,-0.0377864767692539,-0.027341598489929744,-0.004555705112349897,0.056199060274281114,-0.06321678298494669,0.029730990391214476,0.009209467918180336,-0.0310665729830652,0.015350021601452213,0.038054760108372734,0.054315056258028085,0.04574507865025981,-0.016913706646989532,0.05354663623241593,0.03643922774013572,0.02369867183503838,-0.11319493287394931,0.037721457408136136,-0.1658984434413781,0.0396697939428612,-0.0811701563257281,-0.06073787330457166,0.05214034987090003,0.04214253985941076,0.03662738693705686,-0.04954315566950511,-0.004010117594252016,0.0026647500718311942,0.35959230679414045,-0.1555108407148318,0.1705152437803511,0.20198217899311507,-0.029549683365385243,0.0012947436696105763,-0.03964656249523012,0.06947398970166847,-0.07827453794808736,-0.015570047041680773
MACCS_22,-0.017909536071287868,-0.016377069279466402,-0.031769512352241645,-0.021819633840514302,-0.035345069037680116,0.03046922011356884,-0.04220815916804016,0.041450720608356,0.056566888153390275,0.16675922737952167,0.15197017422529702,-0.025225914601907755,-0.07212192554474015,0.06449584083682175,0.0035215879532475847,0.0301662828514504,0.16760903014340264,0.0489293913269279,-0.10357388311219577,-0.17999613177466783,0.1623437761652705,0.15329877560350735,-0.20585586671995837,-0.019251209452093892,-0.18398315097953083,-0.23271938421928118,-0.0318988741261173,-0.2520179316233389,0.20108629059555289,-0.06620191074396843,-0.020758565957144644,0.054510465088139726,-0.03659409482799005,-0.08887233228490463,0.3111967273979966,-0.0740840573928719,-0.12764811412277127,-0.10538947297534634,-0.06484407964818603,-0.16881517793605674,0.06423581442439417,0.16022087830800227,-0.090032123171752,0.0034599555528336545,0.10637023387504353,-0.09948353623844453,-0.22206157030224333,0.09209856331418761,0.09700101961593678,-0.11709788492210549,0.19284802796494546,0.059370073162647446,-0.1278710078949318
MACCS_23,0.01663096745735615,-0.013124520541411555,0.028626196890808298,0.061536656524468825,-0.014396168443888073,-0.0633919186178184,0.008720033832286866,-0.01006482349228149,0.16682701967541108,0.16658763557518946,0.22679720580569795,-0.16831163968154864,-0.011071734253872062,-0.17781146909315693,0.1439873055096425,-0.0055306457370383755,0.18053432773267064,0.0928212692166394,-0.01857483816411022,-0.040090094605726,0.10593646508404814,-0.007445285628946079,0.09352066091995254,0.13058232981195367,0.06787326335641489,0.03885099297205741,-0.051434991149997646,0.10023845027881363,-0.10347878823695546,-0.018333717767813104,0.030491780683129535,-0.14986330723175936,-0.007429150872535172,0.11525935125166151,-0.037326697986689944,0.12192267167188363,-0.1517801897354972,0.0570194859639545,0.1617766936696038,-0.09719990330613676,0.009205662518964507,-0.1932213223499435,-0.050699658040045975,0.056281773397283075,0.03381975799561221,0.011783616483826252,0.023254313662706007,0.02188448409075755,-0.07470598536445705,0.03405294974042056,0.12372051719851548,0.07355439982224837,-0.10398181141511985
MACCS_24,0.03928285589032077,0.13262116995342121,0.0274159156813501,0.11691107703989156,0.02369511741178343,0.09136387018595074,0.13552125243496171,0.20591766146653107,0.004565718280945541,-0.0071224925680949125,0.042963685187360545,-0.18303069106041964,-0.030738872219120625,-0.03382544884966308,-0.017053699241544776,0.04481897448709585,0.01850096543826696,0.09327782519736351,0.14235054436265063,0.007714977120035729,0.04084978368661153,-0.030800990546954815,-0.07106803032514107,0.08090785007779898,0.09916633490362828,-0.044769498960966034,-0.09342486630253828,0.04972187767341893,0.026817118346858196,0.09191850438892994,-0.13047765672321077,0.07801125214645571,0.0031485938875612067,0.12420630873961439,-0.05348017007827347,0.10473139563198652,0.0039443143252948735,-0.009670066887069659,0.07731812658778896,-0.011677899461271804,0.12026736168223992,-0.05534410331640098,-0.10473901597116483,0.03554167910029313,0.028760257607604964,0.02838573153394603,-0.014000256411177137,-0.047776029673330694,0.07189304986078696,-0.04449668605565345,-0.03576064312969838,0.05299408563346578,0.065028146073813
MACCS_25,-0.12726580403200433,-0.06698682704725883,-0.0969738703603609,0.10203391390874583,-0.10109521093999108,0.1513943928279825,0.05354630910356373,-0.1512159344783901,-0.02085709539903048,-0.00843546049429016,-0.039008048316193006,-0.11223166612855279,0.058103501236419525,0.05820871661295634,-0.02864908204865506,-0.04567858039474401,0.08657802740619774,0.031388315448772,0.008962815113643996,-0.06602814375365099,-0.015667344939994027,0.05019985338863153,-0.02292531286964357,0.06823956882898657,0.0658418374549547,0.04200306136053712,0.011718733038632597,0.053474760337572945,-0.0010964845227345588,0.05455168308319529,0.008798622064496395,0.011235115146509989,0.0015194505977128687,0.009012198315286667,0.011286216435188786,-0.005893400173407716,-0.003998233096652676,-0.0448126695157834,-0.07068922460552465,-0.06990116162363218,-0.07725408672303595,-0.18931827137998533,0.07911147800564734,0.043122401847354164,-0.10914959818136999,0.04541596133144827,-0.004379167525989403,-0.000428846882336395,-0.03461763205107604,0.09261406474070558,0.10888541132462627,-0.04981650779432345,-0.14405383272119826
MACCS_26,0.10312025847449578,-0.008088941387776005,-0.03329344235365306,-0.09102486328549789,0.009368031203557642,0.10449487865150658,0.13143956967404472,-0.1495122324825685,-0.08802741742713105,0.10835390171264961,0.04378419651122359,0.1221320590954944,0.09385757100414839,-0.09684298336325056,-0.014496696271452642,-0.0937627712397181,-0.14115018120359588,0.07003977109469108,0.035670136827038415,0.06356256844845114,0.13807133943537875,-0.07261070971276322,-0.027702245523782462,0.09858666437136389,-0.02729678368798588,-0.04254341077063284,-0.03591033314954436,-0.08933982667472821,-0.006568465976038412,0.10967727951651349,-0.040135306183737784,-0.0709033841453333,-0.22191791849649867,0.0648585941741181,0.005562183980237778,0.04583830707646391,0.07567704320105006,-0.05738188580759847,0.0007967111904000346,0.14745532678568263,-0.10267555650848906,-0.06707741556714622,-0.2220909223524966,-0.010780146661131283,-0.0014755871496563312,-0.0848940882922761,-0.07040588602673511,0.1196114435905675,0.06421146298034935,-0.060202238821536316,0.08628985805112899,0.02046324718208959,0.012441087887877483
