,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83,PC84,PC85,PC86,PC87,PC88,PC89,PC90,PC91,PC92,PC93,PC94,PC95,PC96,PC97,PC98,PC99,PC100,PC101,PC102,PC103,PC104,PC105,PC106,PC107,PC108,PC109,PC110,PC111,PC112,PC113,PC114,PC115,PC116,PC117,PC118,PC119,PC120,PC121,PC122,PC123,PC124,PC125
Bit_0,0.01979167643657022,-0.0021663786861488054,0.030713388311392465,0.0029758418874584456,-0.023532463402074363,0.003710226800942109,-0.02835117724836728,-0.050528332721933314,-0.04253120168654884,-0.05250152783394246,0.05570363886988013,-0.004682759272280685,-0.05046794726099889,-0.007235713448014583,-0.04200508298120657,0.04332506930868543,-0.02942149449123943,-0.02847094898077053,-0.001366475356467189,0.04561527140069721,-0.018754542512241033,-0.018802910810611546,0.02110007498705824,-0.012931890492060344,0.021035099331745605,0.007237688007082643,-0.003846536822459552,-0.019646804626078533,-0.017595373667685474,0.024244128421731254,0.01658186556020128,-0.016321606050118093,0.0038597341927437776,-0.018395420832098552,-0.019017182198398232,-0.015720645970084757,-0.030362032314469014,-0.01679822984621547,-0.006192375885733418,-0.019075737230185002,-0.0010831494561328518,0.021406900055841185,0.018983190543748394,-0.019783670292726187,0.02571672392601055,-0.021990618070322453,0.013065250992323607,-0.03813823425647401,-0.026627206555199037,-0.003003702434791771,0.034410108888039005,-0.003905495629722183,-0.043289834968300335,-0.060227818346488646,-0.04976494372919639,-0.00793493322375427,-0.04870159793208829,-0.06267078388334213,0.0018922983681857856,0.033887215891973584,0.044515175474892525,0.010451524330224529,-0.04406513730123344,0.024974234093385627,-0.03261093466397999,-0.005487616632694695,-0.013889694052909641,-0.04160100090935977,0.0037059876826864013,-0.05254379576210198,-0.04379149816515883,-0.08733657952413784,-0.04632842099860337,-0.018817266105102638,0.059043642089918816,0.05876113544445173,0.011003199136045826,-0.06661735654727326,0.03678392586623621,0.02368552707354842,-0.01671129816317431,0.07233743921435005,-0.04132828154725796,-0.01657612086254331,0.052711213773928796,0.04389798148983322,-0.03197947803546455,-0.004425744394769315,-0.07201701906754988,0.013116821578825334,0.012350684254673998,-0.06088405520181238,-0.0013857348446570802,-0.05807231549368749,0.02989706456886524,-0.06691810943012613,-0.034715008125125464,-0.035726595024888,0.02282208262482893,0.037851240408466526,0.07640779451274823,0.042175412086006864,-0.010707779504405822,-0.013525441175259046,0.07153592232543556,0.014686961714777591,-0.035390289994244116,0.0025536374813143526,-0.07724549447257067,0.01924110963181848,-0.08333754351637823,0.06114269906382288,-0.0053395988343040626,0.024815878050568268,-0.02833880706388925,-0.09784107347664686,0.03759091426291063,-0.03718460475095537,-0.0034747308443524782,-0.026169174250968014,0.055637162501359985,0.022827945847389695,-0.01910031464535534,-0.010397837926142345,-0.005130793194776344
Bit_1,0.03899793535069311,0.11604998845909248,-0.04781473928690844,-0.041105453983474816,-0.023253589576096502,-0.011073307051699973,-0.00556629065093665,-0.00373471347363397,-0.00788192633364785,0.025595271646388078,0.008847581707326807,-0.010403237192055685,0.001288019390945002,0.017555262362615634,0.011281873692053229,0.0013536008329919653,0.016224406671676114,0.035959315211224814,0.02634869986706817,0.0027033830515397913,0.00643653414545826,-0.008003743264882063,-0.018165075357935597,-0.030445640244761624,0.014809111512464812,0.012799640778134641,-0.02636225134842176,0.03707795520407798,0.03546619117929304,-0.0018052438303784125,0.013558643070587927,0.023674672186974086,0.0038834659246735795,-0.03061135401633012,0.02565453794458647,-0.041539912167122245,-0.06037199152643122,0.008031542019007503,-0.0325729797130959,0.014569700498984699,-0.0036103631203634455,-0.03537426498550994,0.06628656441861334,-0.019354039220064293,0.03338270924855945,0.04576422241920228,0.012282243964817204,-0.027466059177593555,-0.028132122662895394,0.04671720466288378,-0.0465615925556927,0.06304599279477605,-0.007729857895812464,0.012549335735273557,-0.009185629965140675,-0.03125208855581979,0.00806656275184683,-0.0004309131514404843,-0.001380811264578457,0.015043831618653173,0.0054136816130258515,-0.00692851621338866,-0.029691634736781092,0.01832263940156163,0.023782752565149633,-0.0010540500952501636,-0.0068053951435750005,0.006361777761938615,0.0062806744674911924,-0.004040352695434748,0.0075845000374623744,-0.0010605514711165519,0.009735231363488663,0.01818365222912194,-0.06080971845057406,0.0054695895090087435,-0.010664128706215597,0.011575691366264669,-0.003134914854890451,-0.0021728669932952823,-0.01125231153555854,0.024584185340843376,0.03626556430427618,-0.008660806091311776,-0.018563880312673323,0.005706488769400185,-0.006339757686798271,0.007664743569546383,-0.011253987863145666,0.02280306306102267,-0.02759242365690578,-0.008943207548084692,-0.0262690018451386,0.01110237725760339,-0.01993333029381274,0.01058752614311792,-0.015202130172109689,-0.015611032631052705,-0.03628036175067129,-0.014458743916167348,0.010731169179320396,-0.001041081858333117,-0.004226555835382742,-0.0007515944433195218,-0.009939307115225702,0.006384792909214787,-0.005452871749038118,-0.009054590432718479,0.0189554238182574,-0.028236132777445806,0.0015009714308370974,0.006386123329852024,0.02659884415308693,0.010405383471362262,-0.0030798353207130017,-0.003079345471149953,-0.0017333805535376904,0.007884328858281034,-0.00618100257560275,0.002355326555864444,0.006072001950256092,-0.009678901326143878,0.019555943096784874,0.01923124492273539,-0.018283956784430004
Bit_2,0.0008197114627373279,0.0027144124952390236,0.011811060393758253,0.014547951516945597,-0.00011087898676470115,-0.011416779544939906,-0.007597152911257075,0.0028662795550816736,-0.012926148624481612,-0.003173086602814036,0.027358666220881817,-0.0023207427263062185,0.026598992836488505,-0.006983266864022937,0.0294673922026666,-0.008714346686446679,-0.025466012760489855,0.011981064946170458,0.03654529356360896,0.004473207882897294,0.05315587361526024,0.09188370218127463,0.022735105131493582,0.053692708780601395,-0.07120347020608113,0.05672598651907509,-0.018952216280669232,0.025450867896175143,0.00819948434328763,-0.024274393180185632,0.023611251888253314,0.048405191085410186,-0.020628326240287247,0.032049717245470254,0.05553327406257335,-0.0006728019353666831,-0.023557611693604662,0.025704972557583788,0.013053088940361902,-0.06560555018033702,0.015917734755397338,-0.018907239689065113,-0.02020862754668963,-0.03471905573485021,-0.05105861783359618,-0.05928784361830349,0.014723338247075004,0.01607596591766918,0.0007093647918316972,-0.01730444404121205,0.015549087442694409,0.05150463527806122,-0.018929280710114862,-0.0073374901611354204,0.009960734104384864,-0.013589284473562422,-0.04026261673338243,-0.04680648002833795,0.023118272724543934,0.0026045116114725322,-0.009722646877543551,0.030705150439160472,-0.0035525720469931532,-0.010570775661376092,-0.022341284592457766,-0.009852194439517369,-0.010317317742916532,-0.003537379907418371,0.05421722443964516,-0.05346498326843786,0.07043190376855417,-0.03182803404825903,-0.018725420310760882,-0.01807212729458225,-0.005434215395612654,0.043302532259275536,0.050298918868671334,-0.04248649735900458,0.029022591561674343,-0.013786302754738283,-0.031262931692727404,0.004887208185245954,-0.050411350586666674,0.017817501510614855,0.003329010148111627,0.03413085939022981,0.013754314516049878,-0.02041190994865389,0.06553584289199132,-0.08740340971461431,0.039783315025254666,0.031569122504833874,-0.06592641850346176,0.013591313728035138,-0.010862334248555906,-0.03546329453000713,-0.029648579729772338,-0.04389847791753297,-0.05971098057686496,0.0012455430680620243,-0.08234146437312707,0.02376149718360275,0.033041422401373206,0.007881839020690081,0.021954729203433127,-0.03208522671876466,-0.0005590877589725978,0.022193716571450323,-0.004569879626965707,-0.01005973314323815,0.005970213259446166,-0.10311429024436151,0.0004129431129749866,0.03478400903077836,0.04699695792206957,-0.02444478895833769,-0.02278109776615898,0.07235917047301978,0.018065670219921233,-0.03326370384237469,-0.10718617173751048,0.02737340780826721,0.014008443687289703,0.011853806274808554,0.038143363818300746
Bit_3,0.022374755499055647,0.06812836637634137,-0.03205367558966694,0.012103694432190146,0.03285364204197822,0.038514864179418934,-0.019443946288878442,-0.008354933805017782,-0.03144803851859256,0.004525669566365447,0.00883453171859614,0.048664881618884846,-0.004209499654381481,0.021693538679615494,-0.03724151361104421,-0.040208707771721815,-0.005364863761091562,0.0479099897258166,0.024699933162350137,-0.03941778182481419,0.011221130874365909,0.009283525406822594,-0.007062423991058198,0.014120739605381348,4.436018326734518e-05,0.007083272411822156,0.007177060191352719,0.00850538420049261,-0.007443128050552789,-0.01108977759726551,-0.03772842113109132,0.041381504956405836,-0.00618330524576945,-0.004433980742301513,0.053979377935687176,0.021343185139057176,-0.005775452307303496,-0.03797807155528427,-0.01491787581456854,-0.06719880229320475,0.06770769315894169,-0.040427784588783856,-0.08673932833569042,-0.02997894697182464,0.052637354218066944,-0.028817424357845445,-0.04102264008716469,0.017888816531789548,-0.012328602885762888,-0.07161603774368692,0.03884046491716541,0.030796751858928755,0.09107542697385272,0.025290194374371473,0.037513300841747595,-0.0007300091221228676,0.005894298552129377,-0.09610051603478245,-0.030858071225462615,-0.06848069710509294,0.03135612312186114,0.04615972659922457,-0.022307771396157035,-0.004168742978596617,0.0066081005955214754,-0.004032820596830012,-0.020873739341333113,-0.04423659441286205,0.05613862099362043,-0.12342076640403558,-0.006482774324977168,-0.001527297781714963,0.023761733208829485,-0.0072220684495277136,-0.013544418005973747,-0.012177998029158794,-0.0009330482390462638,0.0011407134997178125,0.009359195548660758,0.03304037793413322,-0.00024596549659541665,0.05774925389964253,-0.014361183177222077,0.03544544487387358,-0.02234626200163485,-0.0367753350700272,0.043672783108361854,-0.004962634563951543,0.03724491368186892,-0.0034530698578875193,-0.010131737611484571,0.008838633442619617,-0.03292192698821322,-0.012866738153928352,-0.025294092590417247,-0.011660161052571429,0.012161643103888517,0.0022937456707270423,0.02919876023798457,-0.005095236511410866,-0.01973974689854652,0.0022976775454693426,0.0011525899620081874,0.02216579170792091,-0.02272993221787378,-0.008605697094200655,-0.006373090875198035,-0.01568460950679915,0.007259293848621135,-0.023572700220472708,-0.01572951197937841,-0.01900147080022417,-0.015350776307035604,-0.02628019826579837,-0.0024182374517706727,-0.020404523244016193,0.01704333755614122,-0.022553642008142704,0.020186989519734366,-0.005466263666497657,-0.009738818867938075,0.002126012456704775,0.014969469707995241,0.03178778502012886,-0.03287738487526243
Bit_4,-0.005707280863841244,0.007232158155521039,-0.020484535158042418,0.049575986334138074,0.06872279389074146,-0.0007971684860749293,-0.012639145516710972,-0.0025579984004334057,-0.00022801291117244095,0.02798898656610744,-0.04206070048997617,-0.06586127071742007,-0.03868641016850209,-0.0675310690206424,0.007660788999371461,0.03353156135796276,0.020346544609519897,-0.002475314247857365,-0.040878784697753426,0.04174190868920287,-0.04578936681543407,0.020151577053959622,0.00475833775465708,-0.002846971900332615,-0.007572115240703094,-0.019061255712786794,0.0034007045449730494,0.04222580717792603,0.013746967383972802,-0.0248583826931861,0.021284189526160693,0.01450087602585636,-0.01916737145883352,0.003322737243637642,-0.049789316998223976,0.029739679843776214,0.050086295818331954,0.004983415742476843,-0.010471976191774982,0.019224868788849988,-0.037574828039911926,-0.005272345121206431,0.01979147736921218,0.016586440238725113,0.02694757961599824,-0.009435529944136274,0.028326330617735165,-0.023422396584326946,0.05107882510008376,0.02255886298715241,0.01646738832976605,0.048319453751849116,-0.031813275273599416,0.018076135757414246,-0.041144409549627045,-0.030544889152276884,0.03444834388449959,-0.06695308204194751,0.018143999708780577,-0.06664914939741912,0.004779864711677135,-0.04630463978984005,-0.08100271445155217,0.026136925405091146,-0.054041129140924904,0.07489314022749363,0.00695322596291407,0.06563551984894926,0.006335545938609978,-0.08709622603960987,0.041057165120449886,0.030772788729459717,-0.004845055081412385,0.008117473221989632,0.06356958968524752,-0.02304514457989928,-0.04736343183036813,0.01104308259322824,0.010698559885487215,0.011451680997051001,0.0012225874680982223,-0.03927838455369134,0.041665306855732845,0.051459618153107095,0.05675025032673223,-0.011884131225909372,0.04788828490564614,-0.003661375563938352,-0.018011060707168874,0.04238894420064398,-0.0002101005267299111,-0.017854657978757838,-0.03734287764656895,-0.013626807154357316,-0.03449499021746595,-0.017485738454709795,0.027889163661557137,-0.035386895640457716,0.05836909147354506,0.029041411922255254,0.009587079727049303,-0.020585751265030726,-0.036810830388068545,0.021458983518690775,0.020816564770462256,-0.07309526013220922,-0.053798995980782374,-0.0338332026263594,-0.0050896491110316395,0.0012323436311102774,0.05186364269755459,-0.027650605795201757,-0.025012584059422603,0.01297026478453557,-0.020483215168776416,0.015376282882415411,-0.03207963452522387,0.050171643411565874,-0.041408518608419716,0.0411548787866545,-0.02296939835935952,-0.03430728270465972,-0.024669348599212312,0.00730779445898136,0.00072433828391967
Bit_5,-0.0012026689036958437,-0.0023812592727129236,0.010426911661082134,0.006138291455640078,-0.011956648071567268,-0.0007729183742160465,0.0065627514600129855,-0.027580510139343636,0.09921675663627531,0.07760821663151467,0.03169837908964392,-0.02327975803204934,-0.05455668793924579,0.004052524503224958,-0.05496782176526325,-0.08337765187263725,-0.00684098570746077,-0.033871386994927116,-0.004403191146461739,-0.0006374922810968375,0.007229662355102468,-0.014638891474502572,0.013548073582171145,-0.03786511697929838,-0.0238876817672901,0.013551293691716445,0.01074086058220357,0.012285762548375526,0.008894642849538158,-0.005974505319940389,0.011463003429816453,0.0073278453866413365,0.011739973441105887,0.0030759442974123427,-0.009420321402055641,-0.0444377828644463,-0.05150657542923413,0.00609581059147319,0.014438718357261399,0.013715212540165542,-0.004019546840954447,-0.054377130282728045,0.0009632546987713439,0.006338827381499451,0.0004131090213359727,0.0014523648257816395,0.00645113009563154,0.025671551862396995,0.014400819745024355,-0.033672625526885255,0.02729009578411293,-0.06684393068095343,0.012685741845916462,0.013196556859787866,0.0015798648093490566,0.021201761123367635,0.0008059239746451456,0.018703745128180092,-0.010399723566237983,-0.006070552742906013,0.03810888349679285,0.0161899585804533,0.001329141789854086,-0.03760513575682817,-0.037374590550622526,-0.028724256819987363,0.07298393210752478,0.012778327549783515,-0.013297512318304502,-0.004876389815910662,0.0540565406114585,-0.04160431382083506,-0.0069061613414021245,-0.014833023443826462,0.044381394864273616,-0.00023133687356347002,0.0002322883786173298,-0.026596420085471573,0.030161901426670242,-0.017533658721599756,-0.02944976992566738,0.022147507645933137,-0.03929549275220266,-0.016545395999906225,0.027609576630361978,-0.0037257847430038704,0.025267741386911402,0.05420730182577625,0.01486800766093281,-0.01096015986630636,-0.03723104196603629,0.004210655355375443,-0.027694586102167174,-0.03568909985228835,-0.003129069158574713,-0.012748829682463039,-0.050026783661850045,0.0196820195167052,-0.013231609627268425,0.015002294590288305,0.03367855581633388,-0.01404058994149704,-0.03201898051969997,-0.0029200836174916923,-0.07498427458773083,0.09255135469199757,0.006084210223720041,0.012518187056292674,0.051588729732219465,-0.01900095334342475,0.06560562430339362,-0.05096611400235238,-0.0750060304655706,-0.032713273348022424,-0.026891621269607112,0.033180124405688974,0.024406020992092707,0.005984940875035953,-0.04341076214776895,-0.0520294339097185,0.046355110872162514,-0.03550626635754319,-0.007641820849674983,-0.02339372863520049,0.018348095243633643
Bit_6,-0.0007450673771244482,0.0056364847946103625,0.004131082144884304,-0.01567198908928269,0.11436520963629825,-0.10118993287073759,0.004135167129778163,0.005005756696173272,0.008019329593444808,-0.004412802683447326,-0.02143399601420629,0.01140984052254695,-0.038299394525062175,-0.06370112725935856,0.024802113969256082,0.0034492367178388566,-0.006267408470397816,0.010732036438177836,-0.01240815689218559,-0.012060385353559664,-0.033260438104306976,-0.011786508840155724,-0.009045978931869331,-0.046664813263484275,0.013446659417347667,0.007502081018114775,-0.03687369704976558,-0.07748961697597899,0.05363778174273719,-0.006881663182173778,-0.010691954392649364,0.06154898728710426,-0.050207043963931774,-0.004616030859243139,-0.06682716751143634,0.0001607583333184296,0.03146544398951514,-0.00848111078996709,0.008108636114760627,-0.010058766997797734,0.00820256015073498,-0.047900431964997846,0.025470970089462593,-0.020481918547673332,0.016735448185615318,-0.026917193615381182,0.026082205280970983,0.012721366635086695,-0.03163996793807885,-0.019439943084769276,0.02536118176933845,-0.026779632413323793,-0.020115674704400885,-0.03000716215058012,0.029459275710129157,-0.06280994072729444,-0.00043912222235198894,0.014224678405312326,0.028165999825702635,0.004587111610219685,-0.035062392501649095,0.02244800433461682,0.00577946003917394,-0.023583088133692098,-0.0029842718365906172,-0.011992839256905715,-0.020251075957821194,-0.023377487892369507,0.02692724836055117,0.0005022424291822518,0.003117226159769396,0.016822810788185042,-0.05367300571341865,-0.007399058449697918,-0.039158647074314525,0.022546604541359688,-0.03599329387155756,0.012742798423312192,0.0011394975715549574,0.03840732253245375,0.02014474663028806,-0.011745161317825856,-0.04331780201966489,-0.002004672198412222,0.005692863470023808,0.04942163879594003,0.0026737456781236275,0.05000056077282154,0.006356533618818104,-0.024571341137657646,0.008890899995005409,0.022247735053028492,0.011073467733299943,-0.032580533485527044,-0.014308958590147504,0.012658287304534634,0.04204634511441051,-0.0009261085578534274,0.007854154107911872,0.022860967782772208,-0.01613604338583724,-0.04451949966090856,0.029428694158472105,-0.0069647791221045825,-0.011483962314774325,-0.0029835289561061912,-0.0024883084861153605,-0.014209135095913891,0.02128109808415624,0.012317661487667384,-0.0082172462944181,0.04588478945766092,0.0008751240071599668,-0.02710011892989182,0.0019092824550347041,-0.02007118995360262,0.016094328812963944,0.01844661493680266,-0.01977477620998426,0.0002102478577151205,0.018410416690551358,0.030773397945001463,0.010586189397077467,-0.016930649407686623,0.006033055437253838
Bit_7,0.011400725171497404,0.006104138127619613,-0.012742466703297107,0.04774858807771963,0.06155588433969666,0.05140793982750928,-0.006630312827017676,-0.004937840261263106,-0.04673610204447577,-0.0004960890206870184,0.00860199048670729,0.06380300597014116,-0.009136754319756203,0.024715981719029254,-0.04251064480191019,-0.05953992627529803,-0.009355855382081195,0.04384050865272077,0.01872177021911256,-0.04464354200817232,0.007799810369717779,-0.034344726531760926,-0.00015342015176815954,0.030610721575455493,0.05096885044433837,0.039659309921111496,0.0455369592706918,0.005548140037736023,-0.02848105653397322,0.041039577704761805,-0.0012741040260370075,0.021763980446298733,0.015143117939914203,-0.008333597533721107,0.04439530619279128,-0.0010233171471445647,0.01645397305698145,0.02045069292717107,0.02456874980030147,-0.014410703795118784,0.0026535151346351303,-0.05046167808448613,0.005130128583863235,-0.010461947137747552,0.01663588262702995,0.010874940875637852,-0.05680604180017171,-0.010500475348087826,-0.0197900060631542,0.06294365699702473,-0.04890082716919786,-0.032650787372634965,-0.006211831445400754,-0.054927061340759656,-0.04065221331830849,0.022164769862325656,0.01225679910489659,0.05287125446902822,-0.03604168057879489,-0.025992792463878197,0.00515184367161635,0.023193436190318214,-0.06394724845868101,-0.05567888447117325,-0.02527199591178729,0.07705296163991975,-0.02137825601441725,-0.008249757959421393,0.08889491467005174,-0.050684934055575497,0.03331752731723314,-0.0026348166322336984,-0.08115805525601762,-0.10521484782201797,0.013084174944518035,-0.05001111062254217,-0.003114195937529147,0.004955594711196299,0.037740351873275395,0.006345492874898528,0.03493472286902576,-0.020808786727480825,0.021349707603030482,0.011586831681397422,4.2527423039090006e-05,0.02113893150294805,0.004897176713681366,-0.03415184892672606,-0.021505729726720726,-0.007689944100984671,0.04623432682638691,0.014221434592436237,0.054615538903668895,0.023034827839062275,0.047704871805994274,0.010144612728096183,0.01512806083245381,0.035364126981237226,0.0023971347321780747,-0.055074068028931965,-0.041723817605442456,-0.02321040512050944,-0.031110639384435472,0.0164308170081686,-0.026324260742743022,0.029302824316312412,-0.0009936504231451728,0.029010595339151037,0.025306882515179988,-0.013395934105570483,0.0392030095838226,0.01960586856716775,-0.009493846788524204,-0.028452244572337457,-0.006222944174805692,0.011844486124421691,0.0188177480241235,0.0022208527043428654,0.02050423462401569,0.029682247847192946,0.036173668990473806,0.02601122795269325,-0.0005141410416430823,0.02199940689082185,0.0032760812515374694
Bit_8,0.056973543883999604,0.006387920861202808,0.08429372651130838,0.029692159908105354,0.016759671852913605,-0.005323479958566349,0.050231236736555565,0.09596950148617317,0.015732377599279913,0.018257237954432317,0.007910150702224766,0.018416410016990875,0.047107472156983986,0.0019489149796818577,-0.02564523724289325,-0.0001437583226920137,0.01624267441372588,0.015724527725303708,0.0015607011669103888,-0.0030790927436183165,-0.012056085769091542,0.018754882134106088,-0.06305901190082729,-0.019757880909411912,-0.045781243334610915,-0.015150661278155881,-0.01984032093345641,-0.013689320218676169,-0.03043196197610068,0.004572596951722988,-0.03943575185458057,-0.0131174686176829,0.004675219145793925,-0.020918936163369057,-0.025951389019965132,0.00012640176824203582,-0.015444159462290745,-0.024000842284054306,0.051657434439952195,0.007591890824998877,-0.0298238181983035,0.07840827608589505,-0.013704122667236309,-0.004454262907109941,0.017151908275698874,0.06924954050043484,-0.009977005760150289,-0.03830442157571973,0.06294012993888382,0.02141364183279631,0.04819849546745393,0.047502535640717304,-0.010037880392767182,0.03463262875829788,-0.0180969232301663,0.024899523619147556,-0.009322600909457385,0.03087168438854897,-0.04883085732791894,0.013550375697140496,0.01078538218158568,0.048644618411564006,-0.050787849473461204,0.0035823827437936645,-0.029973095476124322,0.007301609930778912,-0.0013305696383900647,-0.03710020619507289,-0.013340444740992797,0.032238759148208056,0.011519320215712402,0.014302615722076138,0.02312200942669203,0.0047220149723122525,-0.013620505921529807,-0.019604840941624013,-0.023138190801649527,0.0032390235900261587,0.015121149419309967,0.02870171367955835,-0.0084174715223404,0.0442045559587919,-0.018147780725667417,-0.0076103924914247756,0.008590555010167334,0.016086428900414992,-0.013580871907608176,-0.0062908125642283695,-0.014646423195794534,-0.01860399115240073,0.007123609848695902,-0.015418156089847897,-0.02393989710247182,0.01521408937473535,-0.006597236289171649,0.009842144254540728,0.009492956171822968,0.014688577721161342,0.018176189687208657,0.03723762782332002,0.028635510428655978,0.02875504297065651,0.01926002666441962,0.0009919545305193305,0.016951320122465623,0.005893806145396443,-0.024206944973268727,0.012248520503795417,-0.030963472919580147,-0.02061683844735131,0.05087840981195923,-0.012177129183264808,0.011199632266491538,-0.011505819675700059,0.036433795986176395,-0.026461390343086904,0.006388444066441105,-0.01251048041024773,0.020523060119213527,-0.01936851410501384,0.010133550132522243,0.016463284435917006,0.01119087190337515,0.03197893702833356,0.023527214013323576
Bit_9,-0.004704670618603885,0.0024435462769928436,-0.013273220498864174,-0.0037445011209174704,0.04019927677010555,-0.06153189493027993,0.004075125236810556,-0.016147362888791626,-0.005440076770127428,-0.00044157587477231653,0.011856539147929342,-0.04634110283778037,0.01622057367695997,0.011081393718106755,0.009267625319361242,-0.0029849793791443115,0.024421091012238525,0.04418862670441299,0.0585755012833418,0.05838969927789836,-0.013084996377175863,0.018207074375449238,-0.030157343258717675,-0.0498478945776466,0.059918833278709296,-0.006175329097894762,-0.0015016248791750058,-0.012826089112550412,0.008557077514959141,0.0008241758415486483,0.09601294184867445,0.002906699909850943,-0.030499098411977836,0.014350986420487866,0.02864396228145214,-0.019298649755836162,-0.010584621032476395,0.04449384969907424,-0.030895427781105093,0.03746558053219652,-0.002088158074839336,-0.002575052082146784,-0.05274300590261682,-0.004375388106620857,-0.040943752470748725,0.034314043807672334,-0.025376968331686504,-0.03615756869383462,0.048735630748983995,-0.009540761263540122,0.04496777624653351,-0.025309692914450312,0.002311242751161882,-0.00430754259051895,0.0004901938409353864,0.00013396586172309175,0.10550499332654423,-0.012757834908359744,-0.018203129091768216,-0.05351334199778684,-0.0007395559980712028,-0.015089405985260842,-0.038280204227732866,0.05638954803841507,0.014619850644874744,0.024022432479666622,-0.013825237504813922,0.07073029370593743,-0.014847458665050188,-0.00514372730325283,-0.06398562708298634,0.04489953665241083,-0.02682339632588142,-0.01318805079153287,-0.015115545137140763,-0.0076440453707851425,-0.0038889513702594016,0.03864879107476029,-0.05402460677632854,0.002577089628008555,0.014218600502167628,0.06400180590931717,0.004237390041910351,-0.06459747195650128,0.04615606534336982,0.08391210036824731,0.01818464923964271,-0.08746537181605393,0.033404066146861824,-0.05117590488310988,-0.0006537773904948487,0.07582779832764759,0.036601669525839924,-0.07490814373837544,0.0016636602234264537,0.06925669795845293,0.03649848304074322,0.002080762022032667,-0.025694864579650718,-0.021845078582994615,0.012104916086679506,0.029313489673945536,-0.06971875079232709,-0.06182235477701452,-0.07258270141429282,0.022682433447869188,-0.0035453378076699803,0.0040915385096167555,0.031668288881328915,-0.048955000256781844,-0.040592420165154845,0.015187106558467412,-0.02833480150181736,0.06770772498569567,-0.0034921869730234634,-0.024269920946051165,-0.01967398411742496,0.011806477660443066,0.05789959505040537,-0.0195787053069874,-0.053747303218639846,-0.0393977743498794,-0.025656683169887087,-0.014659569687598259,0.0083039419142555
