,n_components,first_pc_variance
RDKit 2D,45.0,0.21862468434013999
ECFP,125.0,0.042530803837849074
MACCS,53.0,0.1150117495344004
MQN,18.0,0.2636742266814894
Mordred 2D/3D,68.0,0.1588497696324061
Combined,116.0,0.09615538625887374
