Dataset,Model,CV_R2,Test_R2
descriptors_2D_LASSO,Ridge,0.776029407257761,0.6427390040055772
descriptors_2D_LASSO,Lasso,0.5600484369564156,0.3679635115521477
descriptors_2D_LASSO,RandomForest,0.6962308539133957,0.5070040682578614
descriptors_2D_LASSO,GradientBoosting,0.7333762149739298,0.5236152362384187
descriptors_2D_LASSO,ExtraTrees,0.7418362450523011,0.5322315764317225
descriptors_2D_LASSO,XGBoost,0.7008302733982996,0.5539239214610343
descriptors_2D_LASSO,LightGBM,0.7251987342603761,0.5501828702342991
descriptors_2D_LASSO,SVR,0.43966357707133846,0.4611151410401775
descriptors_2D_LASSO,KNN,0.5375514147855233,0.43605010146898904
descriptors_ECFP_LASSO,Ridge,0.5726256451451921,0.054342514618822446
descriptors_ECFP_LASSO,Lasso,0.17190949126402613,-0.050399911073833126
descriptors_ECFP_LASSO,RandomForest,0.6129779972327599,0.4229398492654739
descriptors_ECFP_LASSO,GradientBoosting,0.566081318313493,0.5181439353660091
descriptors_ECFP_LASSO,ExtraTrees,0.3704190077549484,0.11654748911822121
descriptors_ECFP_LASSO,XGBoost,0.6350205536148745,0.6661076994503804
descriptors_ECFP_LASSO,LightGBM,0.4660837713053672,0.3094522946538645
descriptors_ECFP_LASSO,SVR,0.38140632226633964,0.10270040083595655
descriptors_ECFP_LASSO,KNN,0.39303863967757413,0.4155220387179954
descriptors_MACCS_LASSO,Ridge,0.5634793872440167,0.022818709837399753
descriptors_MACCS_LASSO,Lasso,0.16069054356688714,-0.0728081945243555
descriptors_MACCS_LASSO,RandomForest,0.5235007131145213,0.4639644373637035
descriptors_MACCS_LASSO,GradientBoosting,0.5006267794019157,0.40337174008557886
descriptors_MACCS_LASSO,ExtraTrees,-0.07686444296827336,0.21218023778914852
descriptors_MACCS_LASSO,XGBoost,0.45051841465489,0.2954778688709425
descriptors_MACCS_LASSO,LightGBM,0.46301271478566497,0.4170811112259376
descriptors_MACCS_LASSO,SVR,0.36803759126571534,0.38723769581699685
descriptors_MACCS_LASSO,KNN,0.3705844177978422,0.2402688302662952
descriptors_MQN_LASSO,Ridge,0.4442968729508848,0.29624084869080936
descriptors_MQN_LASSO,Lasso,0.19735624692441261,-0.17526805119931188
descriptors_MQN_LASSO,RandomForest,0.49371609271176703,-0.17534994723870834
descriptors_MQN_LASSO,GradientBoosting,0.4167156496824518,-0.26091003132004853
descriptors_MQN_LASSO,ExtraTrees,0.5329903549125682,-0.04933592289844024
descriptors_MQN_LASSO,XGBoost,0.40894050808971444,-0.06570024328104163
descriptors_MQN_LASSO,LightGBM,0.46979945606337764,0.04454449734055155
descriptors_MQN_LASSO,SVR,0.3139603555800794,-0.003649583640759735
descriptors_MQN_LASSO,KNN,0.3298943446778658,-0.3747288329010485
two_and_three_d_LASSO,Ridge,0.8495407775926374,0.5134349855389528
two_and_three_d_LASSO,Lasso,0.5685627399995768,0.3981652041229534
two_and_three_d_LASSO,RandomForest,0.712011946530007,0.5721104851813847
two_and_three_d_LASSO,GradientBoosting,0.7402227182086193,0.5849043379024162
two_and_three_d_LASSO,ExtraTrees,0.7564554104019572,0.6624464261701297
two_and_three_d_LASSO,XGBoost,0.6902246839830557,0.5680704366426341
two_and_three_d_LASSO,LightGBM,0.6972140298237863,0.6187772127865867
two_and_three_d_LASSO,SVR,0.45956382916908456,0.3791238940318936
two_and_three_d_LASSO,KNN,0.6043842481363283,0.10368061368770132
all_descriptors_LASSO,Ridge,0.9411714956313112,0.8824914378955397
all_descriptors_LASSO,Lasso,0.6006800744023798,0.393623837255195
all_descriptors_LASSO,RandomForest,0.7268450902444685,0.49414912788143006
all_descriptors_LASSO,GradientBoosting,0.7993323329586219,0.553623613360239
all_descriptors_LASSO,ExtraTrees,0.8189207921490128,0.5847054498973085
all_descriptors_LASSO,XGBoost,0.7245799770339322,0.5166985038659447
all_descriptors_LASSO,LightGBM,0.7719784489650214,0.5370323804173711
all_descriptors_LASSO,SVR,0.41833182787737383,0.11397782916365651
all_descriptors_LASSO,KNN,0.5169056697838025,0.3407990909346291
descriptors_2D_RF,Ridge,0.7302372428270064,0.43137116714870305
descriptors_2D_RF,Lasso,0.5647010680417737,0.36898744740015765
descriptors_2D_RF,RandomForest,0.7191924204280828,0.5024481342075846
descriptors_2D_RF,GradientBoosting,0.7603849140532155,0.4851987921333274
descriptors_2D_RF,ExtraTrees,0.7462877723974027,0.5908512620863906
descriptors_2D_RF,XGBoost,0.6644453372716639,0.5231288296596828
descriptors_2D_RF,LightGBM,0.7274495585883651,0.5176064890030572
descriptors_2D_RF,SVR,0.4320508569187053,0.2222315780782742
descriptors_2D_RF,KNN,0.5249216279311443,0.13857118689697034
descriptors_ECFP_RF,Ridge,-0.29688839528561484,-0.5151607915155685
descriptors_ECFP_RF,Lasso,0.15726737965718107,-0.0466325645165242
descriptors_ECFP_RF,RandomForest,0.5156109506855434,0.4431907693212406
descriptors_ECFP_RF,GradientBoosting,0.4543141095519001,0.3747660062743189
descriptors_ECFP_RF,ExtraTrees,0.2667566476475233,-0.5917937085834668
descriptors_ECFP_RF,XGBoost,0.4199579648034324,0.2348322844317986
descriptors_ECFP_RF,LightGBM,0.4292507714062991,0.45087962157548356
descriptors_ECFP_RF,SVR,0.3348646362907882,0.30027393473240527
descriptors_ECFP_RF,KNN,0.32651695603157926,0.35910751308182354
descriptors_MACCS_RF,Ridge,0.3519475101683659,0.12646509498181446
