Dataset,Model,CV_R2,Test_R2
descriptors_MQN_Boruta,LightGBM,0.4415466388632394,-0.05108946113069601
descriptors_MQN_Boruta,SVR,0.2821341818516793,0.15318701585292194
descriptors_MQN_Boruta,KNN,0.3329789105187366,-0.05208674827777493
two_and_three_d_Boruta,Ridge,0.6782609639405223,-0.0903419280756328
two_and_three_d_Boruta,Lasso,0.5499618387279789,0.3925531927140361
two_and_three_d_Boruta,RandomForest,0.7706490453353798,0.5875232632980716
two_and_three_d_Boruta,GradientBoosting,0.787518778387966,0.5057017927104468
two_and_three_d_Boruta,ExtraTrees,0.7901712909470335,0.6146427340581344
two_and_three_d_Boruta,XGBoost,0.7529639652457201,0.46993397275984927
two_and_three_d_Boruta,LightGBM,0.7564359054477364,0.5018003601383172
two_and_three_d_Boruta,SVR,0.48078998583074545,0.34246543281710107
two_and_three_d_Boruta,KNN,0.5230619414694233,-0.03665419260607661
all_descriptors_Boruta,Ridge,0.7287184121291809,0.053428498854984574
all_descriptors_Boruta,Lasso,0.5658201856805785,0.3661034245495841
all_descriptors_Boruta,RandomForest,0.7609932439923492,0.5888926625722565
all_descriptors_Boruta,GradientBoosting,0.794671063222955,0.5480242946681869
all_descriptors_Boruta,ExtraTrees,0.7936847035843045,0.6151621521076036
all_descriptors_Boruta,XGBoost,0.7585390157868847,0.4867679952379318
all_descriptors_Boruta,LightGBM,0.7520678423581498,0.6059623901536091
all_descriptors_Boruta,SVR,0.5048351019683934,0.30550310209724807
all_descriptors_Boruta,KNN,0.605094666419862,0.13521138762710794
